Nro de Socio;Nombre; apellido; DNI; email personal; fecha de nacimiento; teléfono de contacto; teléfono de contacto emergencia; Nombre de la obra social o prepaga;nro. de socio obra social/prepaga ;teléfono de contacto de emergencia 
SN-4091;FLAVIA MIRIAM; GIRA;242455860; GIRA_FLAVIA MIRIAM@email.com;24/6/1992;1120639651;1120639671; Swiss Medical;2589658;0810-888-3226
SN-4092;PAMELA E CARABAJAL; GONZALEZ;243067770; GONZALEZ_PAMELA E CARABAJAL@email.com;3/8/1992;1120639652;1120639672; Medicus;M-125897;0800-333-7624
SN-4093;GRACIELA JUDITH ;SANCHEZ;243690280;SANCHEZ_GRACIELA JUDITH @email.com;6/9/1993;1120639653;1120639673; Omint;O125874;4802-0022
SN-4001; SILVIA VIVIANA;CARNERO;271696263;CARNERO_ SILVIA VIVIANA@email.com;5/9/1985;1120639561;1120639581;OSPROTURA;698524;0800-268-3733
SN-4094;ZURITA GLORIA R; SANCHEZ;271902620; SANCHEZ_ZURITA GLORIA R@email.com;6/11/1983;1120639654;1120639674; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4116;GLADYS BEATRIZ ;PIZARRO;272293780;PIZARRO_GLADYS BEATRIZ @email.com;12/7/1985;1120639676;1120639696; OSMISS;OSM-98523;0800-333-6373
SN-4117;CARLA ELIANA ;BRAVO;272497690;BRAVO_CARLA ELIANA @email.com;12/11/1983;1120639677;1120639697; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4020; EMILSE VIRGINIA;ACHEGA;272506040;ACHEGA_ EMILSE VIRGINIA@email.com;6/7/1982;1120639580;1120639600;OSPROTURA;698524;0800-268-3733
SN-4058;ARACELLI MARIA A ;MERCADO;272563840;MERCADO_ARACELLI MARIA A @email.com;2/3/1983;1120639618;1120639638;OSPROTURA;698524;0800-268-3733
SN-4118;MALENA VIVIANA; ARIAS;272586980; ARIAS_MALENA VIVIANA@email.com;15/7/1982;1120639678;1120639698; OSAMOC;MCO-698527;011 5263-7008
SN-4095;ELIANA SOLEDAD ;DIAZ;272704890;DIAZ_ELIANA SOLEDAD @email.com;12/9/1982;1120639655;1120639675; Sancor Salud. ;SS-85741;0800 8888 733
SN-4096;MARIA EVA ;FERREYRA;272739810;FERREYRA_MARIA EVA @email.com;12/8/1984;1120639656;1120639676;OSPROTURA;698524;0800-268-3733
SN-4097;María Lorena ;Ojeda;272802800;Ojeda_María Lorena @email.com;12/6/1984;1120639657;1120639677; OSMISS;OSM-98523;0800-333-6373
SN-4012;VIRGINIA SOLEDAD;RODRIGUEZ;272877720;RODRIGUEZ_VIRGINIA SOLEDAD@email.com;23/7/1983;1120639572;1120639592;Federada;FS-2587415;0800 888 7624
SN-4021; MARIANA SABRINA;PEREZ;272947010;PEREZ_ MARIANA SABRINA@email.com;25/11/1985;1120639581;1120639601; OSMISS;OSM-98523;0800-333-6373
SN-4098;PATRICIA NATALIA; TRINIDAD;272968240; TRINIDAD_PATRICIA NATALIA@email.com;21/12/1984;1120639658;1120639678; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4052; MARIA ESTER;ACUÑA;272970390;ACUÑA_ MARIA ESTER@email.com;2/4/1983;1120639612;1120639632; Medifé;ME-852785963;0800 333 0075
SN-4007; JESICA PAOLA;FERREYRA;272978950;FERREYRA_ JESICA PAOLA@email.com;25/10/1982;1120639567;1120639587; OSPEDICI;DAS-9658;011 4371-4348
SN-4099;SILVINA FERNANDA; YEGROS;272979170; YEGROS_SILVINA FERNANDA@email.com;22/5/1985;1120639659;1120639679; OSAMOC;MCO-698526;011 5263-7008
SN-4066;RUTH ELIZABETH ;TOLOZA;272987150;TOLOZA_RUTH ELIZABETH @email.com;11/6/1983;1120639626;1120639646; OSMTT;OTT-2587;011 4371-7717
SN-4100;SALINAS CARMEN; SOLEDAD;273049410; SOLEDAD_SALINAS CARMEN@email.com;15/9/1985;1120639660;1120639680; OSPM;OP-25478;0810-777-8733
SN-4070;SOLANGE B; GONZALEZ;273104920; GONZALEZ_SOLANGE B@email.com;12/5/1984;1120639630;1120639650; Hominis;H-1245;4959-8228
SN-4006; JULIANA VANESA;MAIDANA;273134447;MAIDANA_ JULIANA VANESA@email.com;8/9/1985;1120639566;1120639586; OSOC;OUY-8547;0800 345 1268
SN-4011;JOSEFINA;SUAREZ;273177970;SUAREZJOSEF_INA@email.com;13/4/1985;1120639571;1120639591;OSPACP;147857;4962-2211/2031/2382
SN-4119;NATALIA VERONICA; LOPEZ;273183150; LOPEZ_NATALIA VERONICA@email.com;16/8/1985;1120639679;1120639699; OSPM;OP-25478;0810-777-8733
SN-4071;ROSALIA ANAHI; ALEGRE;273188300; ALEGRE_ROSALIA ANAHI@email.com;17/9/1983;1120639631;1120639651; Medifé;ME-852785963;0800 333 0075
SN-4010;ANABELA E;SARDA;273317650;SARDA_ANABELA E@email.com;22/8/1985;1120639570;1120639590; OSEAM;OS-852;0800 333 63733 
SN-4101;LEILA ;CHEQUIN;273355110;CHEQUIN_LEILA @email.com;23/7/1983;1120639661;1120639681; OSOC;OUY-8552;0800 345 1268
SN-4022; XOANA DENISA;LUNA;273372660;LUNA_ XOANA DENISA@email.com;30/5/1985;1120639582;1120639602; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4049;SONIA GLADYS; TARCAYA;273390150; TARCAYA_SONIA GLADYS@email.com;6/5/1985;1120639609;1120639629;OSPACP;147859;4962-2211/2031/2382
SN-4025; DAMARIS ELIANA;ZURRIAN;273410240;ZURRIAN_ DAMARIS ELIANA@email.com;17/9/1985;1120639585;1120639605; OSOC;OUY-8548;0800 345 1268
SN-4102;NATALIA VANESA; CORIA;273429360; CORIA_NATALIA VANESA@email.com;19/6/1985;1120639662;1120639682; OSPEDICI;DAS-9663;011 4371-4348
SN-4103;PAMELA D; MACIEL;273436950; MACIEL_PAMELA D@email.com;22/5/1985;1120639663;1120639683; OSPIFSE;1258749;0810-333-7647
SN-4047;MICAELA S; MORALES;273446350; MORALES_MICAELA S@email.com;24/12/1984;1120639607;1120639627; OSMTT;OTT-2586;011 4371-7717
SN-4104;Gisele; Armani;273448110; Armani_Gisele@email.com;26/8/1985;1120639664;1120639684; OSMTT;OTT-2589;011 4371-7717
SN-4105;MARIA FERNANDA; VILLEGAS;273492230; VILLEGAS_MARIA FERNANDA@email.com;11/5/1985;1120639665;1120639685; OSEAM;OS-857;0800 333 63733 
SN-4026; VANINA SOLEDAD;ACUÑA;273507820;ACUÑA_ VANINA SOLEDAD@email.com;12/6/1984;1120639586;1120639606; OSPEDICI;DAS-9659;011 4371-4348
SN-4106;deborah yanina; vieyra;273529610; vieyra_deborah yanina@email.com;15/5/1985;1120639666;1120639686;OSPACP;147862;4962-2211/2031/2382
SN-4107;MARA LUCILA ;PRUNESTI;273537830;PRUNESTI_MARA LUCILA @email.com;17/5/1985;1120639667;1120639687;Federada;FS-2587415;0800 888 7624
SN-4108;MARIANA G; GAUNA;273546630; GAUNA_MARIANA G@email.com;18/6/1984;1120639668;1120639688; Hominis;H-1245;4959-8228
SN-4109;ESTEFANIA DEL; POZO;273553710; POZO_ESTEFANIA DEL@email.com;20/6/1984;1120639669;1120639689; Medifé;ME-852785963;0800 333 0075
SN-4120;ARACELI A; SALINA;273660610; SALINA_ARACELI A@email.com;24/6/1984;1120639680;1120639700; OSOC;OUY-8553;0800 345 1268
SN-4039;MARGARITA SOLEDAD; SANDOVAL;273680140; SANDOVAL_MARGARITA SOLEDAD@email.com;23/7/1984;1120639599;1120639619;OSPROTURA;698524;0800-268-3733
SN-4029;EVELYN CYNTHIA ;ALONSO;273755160;ALONSO_EVELYN CYNTHIA @email.com;22/5/1985;1120639589;1120639609; OSEAM;OS-853;0800 333 63733 
SN-4050; SABRINA J;RODRIGUEZ;273766700;RODRIGUEZ_ SABRINA J@email.com;13/5/1985;1120639610;1120639630;Federada;FS-2587415;0800 888 7624
SN-4018; KAREN SOLEDAD;POTES;273830310;POTES_ KAREN SOLEDAD@email.com;18/9/1985;1120639578;1120639598; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4023; SOFIA ABRIL;BUSTOS RODRIGUEZ;273844530;BUSTOS RODRIGUEZ_ SOFIA ABRIL@email.com;13/5/1985;1120639583;1120639603; OSAMOC;MCO-698522;011 5263-7008
SN-4072;MARIA B; ESQUIVEL;273885930; ESQUIVEL_MARIA B@email.com;2/11/1984;1120639632;1120639652; Swiss Medical;2589657;0810-888-3226
SN-4036;GISELLE A; GALELLI;274067500; GALELLI_GISELLE A@email.com;3/7/1985;1120639596;1120639616; Omint;O125874;4802-0022
SN-4037;DAIANA A; SANDOVAL;274169300; SANDOVAL_DAIANA A@email.com;6/8/1984;1120639597;1120639617; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4054; MELINA ROCIO;LUCERO;274837270;LUCERO_ MELINA ROCIO@email.com;2/11/1985;1120639614;1120639634; Medicus;M-125897;0800-333-7624
SN-4038;JARA C P; DELGADO;279362300; DELGADO_JARA C P@email.com;10/10/1984;1120639598;1120639618; Sancor Salud. ;SS-85741;0800 8888 733
SN-4048;DIANA VICTORIA ARCILA; MARTINEZ;279543990; MARTINEZ_DIANA VICTORIA ARCILA@email.com;12/3/1985;1120639608;1120639628; OSEAM;OS-854;0800 333 63733 
SN-4075;FAUSTO ;MALDONADO;291830520;MALDONADO_FAUSTO @email.com;12/3/1980;1120639635;1120639655; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4076;CUBILLA FERNANDO J ;MEDINA;291901700;MEDINA_CUBILLA FERNANDO J @email.com;3/7/1980;1120639636;1120639656; Sancor Salud. ;SS-85741;0800 8888 733
SN-4015;CLAUDIO FABIAN;MACELLARI;292294360;MACELLARI_CLAUDIO FABIAN@email.com;6/8/1980;1120639575;1120639595; Swiss Medical;2589654;0810-888-3226
SN-4060;GUSTAVO ALBERTO ;BANEGAS;292297650;BANEGAS_GUSTAVO ALBERTO @email.com;6/11/1980;1120639620;1120639640; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4051; FACUNDO N;ROSON;292466330;ROSON_ FACUNDO N@email.com;25/10/1980;1120639611;1120639631; Hominis;H-1245;4959-8228
SN-4061;HECTOR DIEGO ;RODRIGUEZ;292539690;RODRIGUEZ_HECTOR DIEGO @email.com;22/5/1980;1120639621;1120639641; OSAMOC;MCO-698524;011 5263-7008
SN-4062;GASTON MIGUEL; LOPEZ;292563830; LOPEZ_GASTON MIGUEL@email.com;30/5/1980;1120639622;1120639642; OSPM;OP-25478;0810-777-8733
SN-4077;DIEGO GABRIEL ;LAVIZZARI;292564720;LAVIZZARI_DIEGO GABRIEL @email.com;14/6/1980;1120639637;1120639657;OSPROTURA;698524;0800-268-3733
SN-4074;Héctor; Fernandez;292590900; Fernandez_Héctor@email.com;26/7/1980;1120639634;1120639654; Omint;O125874;4802-0022
SN-4063;MARCELO MIGUEL ;GIANETTA;292600810;GIANETTA_MARCELO MIGUEL @email.com;22/10/1980;1120639623;1120639643; OSOC;OUY-8550;0800 345 1268
SN-4032; ALEJANDRO ESTEBAN;PEDERNERA;292619730;PEDERNERA_ ALEJANDRO ESTEBAN@email.com;6/9/1980;1120639592;1120639612; Hominis;H-1245;4959-8228
SN-4005; LUCAS SALVADOR;ACCORINTI;292632869;ACCORINTI_ LUCAS SALVADOR@email.com;2/8/1980;1120639565;1120639585; OSPM;OP-25478;0810-777-8733
SN-4035;GUSTAVO ARIEL; CHAVEZ;292703050; CHAVEZ_GUSTAVO ARIEL@email.com;6/4/1980;1120639595;1120639615; Medicus;M-125897;0800-333-7624
SN-4110;CLAUDIO JOSE ;ORMENO;292761630;ORMENO_CLAUDIO JOSE @email.com;12/3/1980;1120639670;1120639690; Swiss Medical;2589659;0810-888-3226
SN-4009; LEANDRO ENRIQUE;IRIBARNE;292780420;IRIBARNE_ LEANDRO ENRIQUE@email.com;11/8/1980;1120639569;1120639589; OSMTT;OTT-2584;011 4371-7717
SN-4033;ALEJANDRO ALBERTO R;CIPRIANO;292795130;CIPRIANO_ALEJANDRO ALBERTO R@email.com;23/6/1980;1120639593;1120639613; Medifé;ME-852785963;0800 333 0075
SN-4008; PABLO DARIO;BIEN;292844597;BIEN_ PABLO DARIO@email.com;21/5/1980;1120639568;1120639588; OSPIFSE;1258744;0810-333-7647
SN-4014; JESUS PAUL;MARCOS;292879750;MARCOS_ JESUS PAUL@email.com;4/9/1980;1120639574;1120639594; Medifé;ME-852785963;0800 333 0075
SN-4078;RICARDO ALBERTO; PAROL;292936830; PAROL_RICARDO ALBERTO@email.com;6/8/1980;1120639638;1120639658; OSMISS;OSM-98523;0800-333-6373
SN-4041;ELIAS E; PEDROZO;293001110; PEDROZO_ELIAS E@email.com;3/6/1981;1120639601;1120639621; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4059;MARTIN EMILIANO; VASQUEZ;293052750; VASQUEZ_MARTIN EMILIANO@email.com;21/6/1981;1120639619;1120639639; OSMISS;OSM-98523;0800-333-6373
SN-4073;ALEJANDRO GUILLERMO ;ESCUDERO;293086160;ESCUDERO_ALEJANDRO GUILLERMO @email.com;23/5/1981;1120639633;1120639653; Medicus;M-125897;0800-333-7624
SN-4080;LUCAS MARCELO; BIANCHI;293225500; BIANCHI_LUCAS MARCELO@email.com;2/11/1981;1120639640;1120639660; OSAMOC;MCO-698525;011 5263-7008
SN-4002; SERGIO JAVIER;FIGUEROA;293242468;FIGUEROA_ SERGIO JAVIER@email.com;2/7/1981;1120639562;1120639582; OSMISS;OSM-98523;0800-333-6373
SN-4013;MAURO MARTIN;GONZALEZ;293258600;GONZALEZ_MAURO MARTIN@email.com;3/5/1981;1120639573;1120639593; Hominis;H-1245;4959-8228
SN-4019; DARIO PEDRO;SILVA;293275960;SILVA_ DARIO PEDRO@email.com;25/11/1981;1120639579;1120639599; Sancor Salud. ;SS-85741;0800 8888 733
SN-4056;MATIAS EMANUEL; BERARDI;293278160; BERARDI_MATIAS EMANUEL@email.com;6/12/1981;1120639616;1120639636; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4079;PABLO FABIAN; PERRANDO;293291070; PERRANDO_PABLO FABIAN@email.com;1/5/1981;1120639639;1120639659; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4081;JORGE DANIEL; ROJAS;293335880; ROJAS_JORGE DANIEL@email.com;2/7/1981;1120639641;1120639661; OSPM;OP-25478;0810-777-8733
SN-4045;HUGO ALBERTO; GIMENEZ;293340620; GIMENEZ_HUGO ALBERTO@email.com;3/5/1981;1120639605;1120639625; OSPEDICI;DAS-9660;011 4371-4348
SN-4067;PABLO MARTIN ;GONZALEZ;293362640;GONZALEZ_PABLO MARTIN @email.com;16/8/1981;1120639627;1120639647; OSEAM;OS-855;0800 333 63733 
SN-4111;ELIAS N ;RAMALLO;293367480;RAMALLO_ELIAS N @email.com;20/19/1981;1120639671;1120639691; Medicus;M-125897;0800-333-7624
SN-4112;GONZALO E ;FRIAS;293378190;FRIAS_GONZALO E @email.com;22/4/1981;1120639672;1120639692; Omint;O125874;4802-0022
SN-4068;ADRIAN MATIAS ;VALLEJOS;293390680;VALLEJOS_ADRIAN MATIAS @email.com;27/8/1981;1120639628;1120639648;OSPACP;147860;4962-2211/2031/2382
SN-4040;PABLO LUIS; ROGGERO;293391400; ROGGERO_PABLO LUIS@email.com;30/6/1981;1120639600;1120639620; OSMISS;OSM-98523;0800-333-6373
SN-4003; GASTON ARIEL;CRUZ;293414722;CRUZ_ GASTON ARIEL@email.com;20/6/1981;1120639563;1120639583; OSTCARA;ASC-25841; (011) 4371-6390 / 7172-2501
SN-4053; WALTER DAMIAN;INSFRAN;293422500;INSFRAN_ WALTER DAMIAN@email.com;23/6/1981;1120639613;1120639633; Swiss Medical;2589656;0810-888-3226
SN-4113;NICOLAS DANIEL ;PALACIOS;293448100;PALACIOS_NICOLAS DANIEL @email.com;24/6/1981;1120639673;1120639693; Plan de Salud Hospital Italiano;PS-748596;4959-5000
SN-4069;MAXIMILIANO DAVID ;PENKALUK;293448110;PENKALUK_MAXIMILIANO DAVID @email.com;30/10/1981;1120639629;1120639649;Federada;FS-2587415;0800 888 7624
SN-4016; FERNANDO DIEGO RAUL;QUIROZ;293456690;QUIROZ_ FERNANDO DIEGO RAUL@email.com;16/9/1982;1120639576;1120639596; Medicus;M-125897;0800-333-7624
SN-4031; NAHUEL SANTIAGO;SCARSINI;293535780;SCARSINI_ NAHUEL SANTIAGO@email.com;16/5/1982;1120639591;1120639611;Federada;FS-2587415;0800 888 7624
SN-4057;ALBERTO EMANUEL ;FERNANDEZ CALDERON;293547960;FERNANDEZ CALDERON_ALBERTO EMANUEL @email.com;14/5/1982;1120639617;1120639637; Sancor Salud. ;SS-85741;0800 8888 733
SN-4082;RODIS OSVALDO ;PEREZ;293568300;PEREZ_RODIS OSVALDO @email.com;17/6/1982;1120639642;1120639662; OSOC;OUY-8551;0800 345 1268
SN-4083;MAURO GASTON ;GONZALEZ;293590020;GONZALEZ_MAURO GASTON @email.com;6/5/1982;1120639643;1120639663; OSPEDICI;DAS-9662;011 4371-4348
SN-4084;EDUARDO JAVIER ;GRISEK;293641390;GRISEK_EDUARDO JAVIER @email.com;3/7/1982;1120639644;1120639664; OSPIFSE;1258748;0810-333-7647
SN-4085;NAHUEL FERNANDO ;VELIZ;293641390;VELIZ_NAHUEL FERNANDO @email.com;12/6/1982;1120639645;1120639665; OSMTT;OTT-2588;011 4371-7717
SN-4064;FACUNDO N; ALFONZO;293669870; ALFONZO_FACUNDO N@email.com;11/8/1982;1120639624;1120639644; OSPEDICI;DAS-9661;011 4371-4348
SN-4086;LEONARDO JAVIER ;MORANDI;293709790;MORANDI_LEONARDO JAVIER @email.com;14/9/1982;1120639646;1120639666; OSEAM;OS-856;0800 333 63733 
SN-4087;FRANCO EZEQUIEL; FORMOSO;293723850; FORMOSO_FRANCO EZEQUIEL@email.com;20/3/1982;1120639647;1120639667;OSPACP;147861;4962-2211/2031/2382
SN-4024; LEANDRO EZEQUIEL;NIETO;293740660;NIETO_ LEANDRO EZEQUIEL@email.com;17/4/1982;1120639584;1120639604; OSPM;OP-25478;0810-777-8733
SN-4027; LEANDRO AGUSTIN EZEQUIEL;MARQUEZ;293842780;MARQUEZ_ LEANDRO AGUSTIN EZEQUIEL@email.com;11/10/1982;1120639587;1120639607; OSPIFSE;1258745;0810-333-7647
SN-4043;ELIAS N AYALA; FERNANDEZ;293886380; FERNANDEZ_ELIAS N AYALA@email.com;16/4/1982;1120639603;1120639623; OSPM;OP-25478;0810-777-8733
SN-4017; JUAN RAUL;FERRARI;294079530;FERRARI_ JUAN RAUL@email.com;13/5/1982;1120639577;1120639597; Omint;O125874;4802-0022
SN-4044;DARIO N; MORENO;294112990; MORENO_DARIO N@email.com;12/3/1982;1120639604;1120639624; OSOC;OUY-8549;0800 345 1268
SN-4088;TORRANO JOSE E; RODRIGUEZ;299375030; RODRIGUEZ_TORRANO JOSE E@email.com;15/9/1982;1120639648;1120639668;Federada;FS-2587415;0800 888 7624
SN-4042;JOSE M; CORDONERO;299545440; CORDONERO_JOSE M@email.com;12/4/1982;1120639602;1120639622; OSAMOC;MCO-698523;011 5263-7008
